,abv,ibu,beer_name,style,ounces,brewery_name,city,state
62,0.055,26.0,Colorado Native,American Amber / Red Lager,12.0,AC Golden Brewing Company,Golden, CO
63,0.055,26.0,Colorado Native (2011),American Amber / Red Lager,12.0,AC Golden Brewing Company,Golden, CO
64,0.065,52.0,Jockamo IPA,American IPA,12.0,Abita Brewing Company,Abita Springs, LA
65,0.042,13.0,Purple Haze,Fruit / Vegetable Beer,12.0,Abita Brewing Company,Abita Springs, LA
66,0.045,17.0,Abita Amber,American Amber / Red Lager,12.0,Abita Brewing Company,Abita Springs, LA
67,0.0819999999999999,68.0,Citra Ass Down,American IPA,16.0,Against The Grain Brewery,Louisville, KY
68,0.05,20.0,The Brown Note,American Brown Ale,16.0,Against The Grain Brewery,Louisville, KY
69,0.08,68.0,Citra Ass Down,American Double / Imperial IPA,16.0,Against the Grain Brewery,Louisville, KY
70,0.125,80.0,London Balling,English Barleywine,16.0,Against the Grain Brewery,Louisville, KY
71,0.077,25.0,35 K,Milk / Sweet Stout,16.0,Against the Grain Brewery,Louisville, KY
72,0.042,42.0,A Beer,American Pale Ale (APA),16.0,Against the Grain Brewery,Louisville, KY
73,0.05,25.0,Rules are Rules,German Pilsener,16.0,Against the Grain Brewery,Louisville, KY
