,abv,ibu,beer_name,style,ounces,brewery_name,city,state
336,0.047,20.983606557377048,Moe's Original Bar B Que 'Bama Brew Golden Ale,American Blonde Ale,12.0,Bonfire Brewing Company,Eagle, CO
337,0.047,20.983606557377048,Live Local Golden Ale,American Blonde Ale,12.0,Bonfire Brewing Company,Eagle, CO
338,0.048,38.0,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),12.0,Bonfire Brewing Company,Eagle, CO
339,0.049,20.33333333333333,Dirtbag Dunkel,Munich Dunkel Lager,16.0,Bonfire Brewing Company,Eagle, CO
340,0.053,45.0,Kindler Pale Ale,American Pale Ale (APA),12.0,Bonfire Brewing Company,Eagle, CO
341,0.064,24.625,Mistress Winter Wheat,Winter Warmer,12.0,Bonfire Brewing Company,Eagle, CO
342,0.061,31.923076923076923,Tent Pole Vanilla Porter,American Porter,16.0,Bonfire Brewing Company,Eagle, CO
343,0.0579999999999999,44.94117647058823,Awry Rye Pale Ale,American Pale Ale (APA),12.0,Bonfire Brewing Company,Eagle, CO
344,0.0579999999999999,29.894736842105264,Demshitz Brown Ale,American Brown Ale,12.0,Bonfire Brewing Company,Eagle, CO
345,0.048,33.8125,Wood Splitter Pilsner (2012),Czech Pilsener,12.0,Bonfire Brewing Company,Eagle, CO
346,0.048,20.983606557377048,Brush Creek Blonde,American Blonde Ale,16.0,Bonfire Brewing Company,Eagle, CO
347,0.066,72.0,Firestarter India Pale Ale,American IPA,16.0,Bonfire Brewing Company,Eagle, CO
348,0.071,16.0,Noche Dulce,American Porter,16.0,Borderlands Brewing Company,Tucson, AZ
349,0.045,8.0,Porch Rocker,Radler,12.0,Boston Beer Company,Boston, MA
350,0.065,45.0,Rebel IPA,American IPA,16.0,Boston Beer Company,Boston, MA
351,0.055,16.208333333333332,Cold Snap,Witbier,12.0,Boston Beer Company,Boston, MA
352,0.0559999999999999,25.0,Samuel Adams Winter Lager,Bock,12.0,Boston Beer Company,Boston, MA
353,0.049,30.0,Boston Lager,Vienna Lager,16.0,Boston Beer Company,Boston, MA
354,0.049,30.0,Boston Lager,Vienna Lager,12.0,Boston Beer Company,Boston, MA
355,0.053,15.0,Samuel Adams Octoberfest,Märzen / Oktoberfest,12.0,Boston Beer Company,Boston, MA
356,0.053,7.0,Samuel Adams Summer Ale,American Pale Wheat Ale,12.0,Boston Beer Company,Boston, MA
357,0.049,30.0,Boston Lager,Vienna Lager,12.0,Boston Beer Company,Boston, MA
358,0.049,35.0,Hazed & Infused,American Pale Ale (APA),12.0,Boulder Beer Company,Boulder, CO
359,0.057,35.0,Hoopla Pale Ale,American Pale Ale (APA),12.0,Boulder Beer Company,Boulder, CO
360,0.049,35.0,Hazed & Infused (2010),American Pale Ale (APA),12.0,Boulder Beer Company,Boulder, CO
361,0.062,80.0,Heavy Lifting,American IPA,12.0,Boulevard Brewing Company,Kansas City, MO
362,0.065,44.94117647058823,1492,American Pale Ale (APA),12.0,Boxcar Brewing Company,West Chester, PA
363,0.0579999999999999,67.63455149501661,Mango Ginger,American IPA,12.0,Boxcar Brewing Company,West Chester, PA
364,0.047,22.0,Passenger,English Dark Mild Ale,12.0,Boxcar Brewing Company,West Chester, PA
365,0.06,52.0,Plum St. Porter,American Porter,12.0,Bozeman Brewing Company,Bozeman, MT
366,0.057,52.0,Plum St. Porter,American Porter,12.0,Bozeman Brewing Company,Bozeman, MT
367,0.07,80.0,Bozone HopZone IPA,American IPA,12.0,Bozeman Brewing Company,Bozeman, MT
368,0.06,25.0,Bozone Hefe Weizen,Hefeweizen,12.0,Bozeman Brewing Company,Bozeman, MT
369,0.055,36.298701298701296,Bozone Select Amber Ale,American Amber / Red Ale,12.0,Bozeman Brewing Company,Bozeman, MT
370,0.052,40.0,Evil Owl,American Amber / Red Ale,12.0,Branchline Brewing Company,San Antonio, TX
371,0.05,21.77777777777778,Post Time Kölsch,Kölsch,16.0,Breakside Brewery,Portland, OR
372,0.042,9.0,Agave Wheat,American Pale Wheat Ale,12.0,Breckenridge Brewery,Denver, CO
373,0.045,15.0,SummerBright Ale,American Pale Wheat Ale,12.0,Breckenridge Brewery,Denver, CO
374,0.062,68.0,Lucky U IPA,American IPA,12.0,Breckenridge Brewery,Denver, CO
375,0.054,19.0,Avalanche Ale,American Amber / Red Ale,12.0,Breckenridge Brewery,Denver, CO
376,0.05,14.2,"You're My Boy, Blue",Fruit / Vegetable Beer,12.0,Brew Bus Brewing,Tampa, FL
377,0.072,60.0,Last Stop IPA,American IPA,12.0,Brew Bus Brewing,Tampa, FL
378,0.05,21.0,Rollin Dirty Red Ale,Irish Red Ale,12.0,Brew Bus Brewing,Tampa, FL
379,0.055,28.0,Are Wheat There Yet?,American Pale Wheat Ale,12.0,Brew Bus Brewing,Tampa, FL
380,0.0579999999999999,44.94117647058823,Insert Hop Reference,American Pale Ale (APA),16.0,Brew Link Brewing,Plainfield, IN
381,0.053,36.298701298701296,Manitou Amber,American Amber / Red Ale,16.0,Brewery Terra Firma,Traverse City, MI
382,0.067,28.39130434782609,Belfort,Saison / Farmhouse Ale,16.0,Brewery Vivant,Grand Rapids, MI
383,0.06,23.875,Star Runner,Belgian Pale Ale,16.0,Brewery Vivant,Grand Rapids, MI
384,0.098,62.0,Tart Side of the Barrel,American Double / Imperial Stout,16.0,Brewery Vivant,Grand Rapids, MI
385,0.06,67.63455149501661,Linnaeus Mango IPA,American IPA,16.0,Brewery Vivant,Grand Rapids, MI
386,0.07,40.912020006176114,Beasts A'Burnin',Rauchbier,16.0,Brewery Vivant,Grand Rapids, MI
387,0.077,23.0,Verdun,Bière de Garde,16.0,Brewery Vivant,Grand Rapids, MI
388,0.065,57.0,Barrel Aged Triomphe,Belgian IPA,16.0,Brewery Vivant,Grand Rapids, MI
389,0.065,24.5,Cherry Doppelbock,Doppelbock,16.0,Brewery Vivant,Grand Rapids, MI
390,0.065,28.39130434782609,Tropical Saison,Saison / Farmhouse Ale,16.0,Brewery Vivant,Grand Rapids, MI
391,0.065,16.208333333333332,Beach Patrol,Witbier,16.0,Brewery Vivant,Grand Rapids, MI
392,0.05,57.0,Nuit Serpent,Belgian IPA,16.0,Brewery Vivant,Grand Rapids, MI
393,0.09,28.39130434782609,Paris,Saison / Farmhouse Ale,16.0,Brewery Vivant,Grand Rapids, MI
394,0.055,57.0,The Grand Army,Belgian IPA,16.0,Brewery Vivant,Grand Rapids, MI
395,0.059,28.39130434782609,Acidulated Trip,Saison / Farmhouse Ale,16.0,Brewery Vivant,Grand Rapids, MI
396,0.066,52.0,Root Stock,Rye Beer,16.0,Brewery Vivant,Grand Rapids, MI
397,0.0409999999999999,16.0,Mind Games,Dunkelweizen,16.0,Brewery Vivant,Grand Rapids, MI
398,0.0819999999999999,25.0,Sous Chef,Belgian Strong Pale Ale,16.0,Brewery Vivant,Grand Rapids, MI
399,0.065,21.0,Dubbelicious,Dubbel,16.0,Brewery Vivant,Grand Rapids, MI
400,0.062,29.666666666666668,Psychopomp,Belgian Dark Ale,16.0,Brewery Vivant,Grand Rapids, MI
401,0.061,16.208333333333332,Ski Patrol,Witbier,16.0,Brewery Vivant,Grand Rapids, MI
402,0.063,28.09090909090909,Viking Ice Hole,Oatmeal Stout,16.0,Brewery Vivant,Grand Rapids, MI
403,0.0559999999999999,31.923076923076923,Rye Porter,American Porter,16.0,Brewery Vivant,Grand Rapids, MI
404,0.099,24.0,Wizard Burial Ground,Quadrupel (Quad),16.0,Brewery Vivant,Grand Rapids, MI
405,0.051,40.912020006176114,Smoky Wheat,Rauchbier,16.0,Brewery Vivant,Grand Rapids, MI
406,0.062,57.0,BRIPA,Belgian IPA,16.0,Brewery Vivant,Grand Rapids, MI
407,0.062,29.666666666666668,Mela,Belgian Dark Ale,16.0,Brewery Vivant,Grand Rapids, MI
408,0.053,57.0,W.I.P.A Snappa,Belgian IPA,16.0,Brewery Vivant,Grand Rapids, MI
409,0.063,52.0,Pepper in the Rye,Rye Beer,16.0,Brewery Vivant,Grand Rapids, MI
410,0.064,41.3125,Moe Lasses',American Stout,16.0,Brewery Vivant,Grand Rapids, MI
411,0.07,14.2,Pumpkin Tart,Fruit / Vegetable Beer,16.0,Brewery Vivant,Grand Rapids, MI
412,0.067,29.666666666666668,Undertaker,Belgian Dark Ale,16.0,Brewery Vivant,Grand Rapids, MI
413,0.067,29.666666666666668,Undertaker (2014),Belgian Dark Ale,16.0,Brewery Vivant,Grand Rapids, MI
414,0.05,23.875,Coq D'Or,Belgian Pale Ale,16.0,Brewery Vivant,Grand Rapids, MI
415,0.06,23.0,North French,Bière de Garde,16.0,Brewery Vivant,Grand Rapids, MI
416,0.065,29.666666666666668,Agent a Deux,Belgian Dark Ale,16.0,Brewery Vivant,Grand Rapids, MI
417,0.045,16.208333333333332,Belgian Wit,Witbier,16.0,Brewery Vivant,Grand Rapids, MI
418,0.063,41.3125,Pothole Stout,American Stout,16.0,Brewery Vivant,Grand Rapids, MI
419,0.093,57.0,Tree Bucket,Belgian IPA,16.0,Brewery Vivant,Grand Rapids, MI
420,0.073,27.0,Le Flaneur Ale,American Wild Ale,16.0,Brewery Vivant,Grand Rapids, MI
421,0.0559999999999999,14.2,Maize & Blueberry,Fruit / Vegetable Beer,16.0,Brewery Vivant,Grand Rapids, MI
422,0.093,93.32,Trebuchet Double IPA,American Double / Imperial IPA,16.0,Brewery Vivant,Grand Rapids, MI
423,0.065,23.0,Contemplation,Bière de Garde,16.0,Brewery Vivant,Grand Rapids, MI
424,0.05,68.9,Black Rabbit,American Black Ale,16.0,Brewery Vivant,Grand Rapids, MI
425,0.09,28.39130434782609,Zaison,Saison / Farmhouse Ale,16.0,Brewery Vivant,Grand Rapids, MI
426,0.0819999999999999,23.5,Vivant Tripel,Tripel,16.0,Brewery Vivant,Grand Rapids, MI
427,0.098,29.666666666666668,Tart Side of the Moon,Belgian Dark Ale,16.0,Brewery Vivant,Grand Rapids, MI
428,0.06,36.298701298701296,Big Red Coq,American Amber / Red Ale,16.0,Brewery Vivant,Grand Rapids, MI
429,0.099,24.0,Hubris Quadrupel Anniversary Ale,Quadrupel (Quad),16.0,Brewery Vivant,Grand Rapids, MI
430,0.095,62.0,Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,16.0,Brewery Vivant,Grand Rapids, MI
431,0.092,27.0,Escoffier Bretta Ale,American Wild Ale,16.0,Brewery Vivant,Grand Rapids, MI
432,0.065,23.0,Contemplation (2012),Bière de Garde,16.0,Brewery Vivant,Grand Rapids, MI
433,0.099,86.5,Vivant Belgian Style Imperial Stout (2012),Russian Imperial Stout,16.0,Brewery Vivant,Grand Rapids, MI
434,0.062,36.298701298701296,Big Red Coq (2012),American Amber / Red Ale,16.0,Brewery Vivant,Grand Rapids, MI
435,0.09,28.39130434782609,Zaison (2012),Saison / Farmhouse Ale,16.0,Brewery Vivant,Grand Rapids, MI
436,0.092,23.5,Vivant Tripel (2012),Tripel,16.0,Brewery Vivant,Grand Rapids, MI
437,0.0969999999999999,57.0,Trebuchet Double IPA (2012),Belgian IPA,16.0,Brewery Vivant,Grand Rapids, MI
438,0.085,72.0,Kludde,Belgian Strong Dark Ale,16.0,Brewery Vivant,Grand Rapids, MI
439,0.055,28.39130434782609,Farm Hand,Saison / Farmhouse Ale,16.0,Brewery Vivant,Grand Rapids, MI
440,0.06,23.875,Solitude,Belgian Pale Ale,16.0,Brewery Vivant,Grand Rapids, MI
441,0.065,57.0,Triomphe,Belgian IPA,16.0,Brewery Vivant,Grand Rapids, MI
442,0.061,36.298701298701296,Broad Brook Ale,American Amber / Red Ale,16.0,Broad Brook Brewing LLC,East Windsor, CT
443,0.05,15.0,Northern Lights Amber Ale,American Amber / Red Ale,12.0,Broken Tooth Brewing Company,Anchorage, AK
444,0.052,17.0,Polar Pale Ale,American Pale Ale (APA),12.0,Broken Tooth Brewing Company,Anchorage, AK
445,0.048,20.33333333333333,Chugach Session Ale,Cream Ale,12.0,Broken Tooth Brewing Company,Anchorage, AK
446,0.061,64.0,Fairweather IPA,American IPA,12.0,Broken Tooth Brewing Company,Anchorage, AK
447,0.068,47.0,East India Pale Ale,English India Pale Ale (IPA),16.0,Brooklyn Brewery,Brooklyn, NY
448,0.045,16.0,Brooklyn Summer Ale,English Pale Mild Ale,12.0,Brooklyn Brewery,Brooklyn, NY
449,0.068,47.0,East India Pale Ale,English India Pale Ale (IPA),12.0,Brooklyn Brewery,Brooklyn, NY
450,0.045,16.0,Brooklyn Summer Ale (2011),English Pale Mild Ale,12.0,Brooklyn Brewery,Brooklyn, NY
451,0.052,23.25,Brooklyn Lager (16 oz.),American Amber / Red Lager,16.0,Brooklyn Brewery,Brooklyn, NY
452,0.052,23.25,Brooklyn Lager (12 oz.),American Amber / Red Lager,12.0,Brooklyn Brewery,Brooklyn, NY
